chrom	length	bases	mean	min	max
SCAF_1	5574741	543509444	97.50	0	31514
SCAF_1_region	5574741	543509444	97.50	0	31514
SCAF_2	4079479	373658629	91.59	0	6707
SCAF_2_region	4079479	373658629	91.59	0	6707
SCAF_3	3666439	360527517	98.33	0	9027
SCAF_3_region	3666439	360527517	98.33	0	9027
SCAF_4	2601389	270292338	103.90	0	8996
SCAF_4_region	2601389	270292338	103.90	0	8996
SCAF_5	2032088	205720933	101.24	0	11764
SCAF_5_region	2032088	205720933	101.24	0	11764
SCAF_6	1976889	206816100	104.62	0	7005
SCAF_6_region	1976889	206816100	104.62	0	7005
SCAF_7	1932263	194715990	100.77	0	15982
SCAF_7_region	1932263	194715990	100.77	0	15982
SCAF_8	1669080	143829094	86.17	0	2553
SCAF_8_region	1669080	143829094	86.17	0	2553
SCAF_9	1646134	152179366	92.45	0	4847
SCAF_9_region	1646134	152179366	92.45	0	4847
SCAF_10	1570817	145756292	92.79	0	5271
SCAF_10_region	1570817	145756292	92.79	0	5271
SCAF_11	1437752	141825142	98.64	0	1935
SCAF_11_region	1437752	141825142	98.64	0	1935
SCAF_12	978195	111414035	113.90	0	223249
SCAF_12_region	978195	111414035	113.90	0	223249
SCAF_13	598471	10574947	17.67	0	5393
SCAF_13_region	598471	10574947	17.67	0	5393
SCAF_14	247525	192294325	776.87	0	11653
SCAF_14_region	247525	192294325	776.87	0	11653
SCAF_15	224905	485004	2.16	0	75
SCAF_15_region	224905	485004	2.16	0	75
SCAF_16	181804	8473388	46.61	0	9805
SCAF_16_region	181804	8473388	46.61	0	9805
SCAF_17	176395	362917	2.06	0	27
SCAF_17_region	176395	362917	2.06	0	27
SCAF_18	160122	205427	1.28	0	19
SCAF_18_region	160122	205427	1.28	0	19
SCAF_19	139354	83546	0.60	0	20
SCAF_19_region	139354	83546	0.60	0	20
SCAF_20	131876	263560	2.00	0	120
SCAF_20_region	131876	263560	2.00	0	120
SCAF_21	130124	460687	3.54	0	312
SCAF_21_region	130124	460687	3.54	0	312
SCAF_22	121580	314590	2.59	0	26
SCAF_22_region	121580	314590	2.59	0	26
SCAF_23	117381	232189	1.98	0	31
SCAF_23_region	117381	232189	1.98	0	31
SCAF_24	115879	262052	2.26	0	162
SCAF_24_region	115879	262052	2.26	0	162
SCAF_25	115495	227348	1.97	0	244
SCAF_25_region	115495	227348	1.97	0	244
SCAF_26	113072	239138	2.11	0	18
SCAF_26_region	113072	239138	2.11	0	18
SCAF_27	110609	10145459	91.72	0	7144
SCAF_27_region	110609	10145459	91.72	0	7144
SCAF_28	109542	76543	0.70	0	24
SCAF_28_region	109542	76543	0.70	0	24
SCAF_29	108319	10525589	97.17	0	3774
SCAF_29_region	108319	10525589	97.17	0	3774
SCAF_30	107902	7045014	65.29	0	17331
SCAF_30_region	107902	7045014	65.29	0	17331
SCAF_31	106626	1307124	12.26	0	6405
SCAF_31_region	106626	1307124	12.26	0	6405
SCAF_32	102192	296999	2.91	0	351
SCAF_32_region	102192	296999	2.91	0	351
SCAF_33	98221	264149	2.69	0	20
SCAF_33_region	98221	264149	2.69	0	20
SCAF_34	97882	250618	2.56	0	22
SCAF_34_region	97882	250618	2.56	0	22
SCAF_35	95705	2118468	22.14	0	3075
SCAF_35_region	95705	2118468	22.14	0	3075
SCAF_36	94431	174641	1.85	0	27
SCAF_36_region	94431	174641	1.85	0	27
SCAF_37	92851	79667	0.86	0	31
SCAF_37_region	92851	79667	0.86	0	31
SCAF_38	89142	381517	4.28	0	311
SCAF_38_region	89142	381517	4.28	0	311
SCAF_39	88257	120435	1.36	0	18
SCAF_39_region	88257	120435	1.36	0	18
SCAF_40	85354	436813	5.12	0	400
SCAF_40_region	85354	436813	5.12	0	400
SCAF_41	82239	174523	2.12	0	22
SCAF_41_region	82239	174523	2.12	0	22
SCAF_42	77162	167473	2.17	0	25
SCAF_42_region	77162	167473	2.17	0	25
SCAF_43	76714	183790	2.40	0	14
SCAF_43_region	76714	183790	2.40	0	14
SCAF_44	76272	148592	1.95	0	901
SCAF_44_region	76272	148592	1.95	0	901
SCAF_45	73110	106331	1.45	0	329
SCAF_45_region	73110	106331	1.45	0	329
SCAF_46	72118	216967	3.01	0	24
SCAF_46_region	72118	216967	3.01	0	24
SCAF_47	70166	126994	1.81	0	13
SCAF_47_region	70166	126994	1.81	0	13
SCAF_48	69627	219115	3.15	0	21
SCAF_48_region	69627	219115	3.15	0	21
SCAF_49	69624	293320	4.21	0	293
SCAF_49_region	69624	293320	4.21	0	293
SCAF_50	68258	190438	2.79	0	34
SCAF_50_region	68258	190438	2.79	0	34
SCAF_51	66966	73962	1.10	0	18
SCAF_51_region	66966	73962	1.10	0	18
SCAF_52	66855	79039	1.18	0	19
SCAF_52_region	66855	79039	1.18	0	19
SCAF_53	65552	79218	1.21	0	14
SCAF_53_region	65552	79218	1.21	0	14
SCAF_54	65267	69121	1.06	0	102
SCAF_54_region	65267	69121	1.06	0	102
SCAF_55	65114	74865	1.15	0	11
SCAF_55_region	65114	74865	1.15	0	11
SCAF_56	62812	30966	0.49	0	95
SCAF_56_region	62812	30966	0.49	0	95
SCAF_57	62187	19490	0.31	0	19
SCAF_57_region	62187	19490	0.31	0	19
SCAF_58	61544	220250	3.58	0	425
SCAF_58_region	61544	220250	3.58	0	425
SCAF_59	61533	52310	0.85	0	17
SCAF_59_region	61533	52310	0.85	0	17
SCAF_60	61411	1496685	24.37	0	1808
SCAF_60_region	61411	1496685	24.37	0	1808
SCAF_61	61115	181479	2.97	0	18
SCAF_61_region	61115	181479	2.97	0	18
SCAF_62	59972	20613	0.34	0	74
SCAF_62_region	59972	20613	0.34	0	74
SCAF_63	59743	164040	2.75	0	290
SCAF_63_region	59743	164040	2.75	0	290
SCAF_64	58841	82928	1.41	0	187
SCAF_64_region	58841	82928	1.41	0	187
SCAF_65	58838	49340	0.84	0	14
SCAF_65_region	58838	49340	0.84	0	14
SCAF_66	58483	20190	0.35	0	95
SCAF_66_region	58483	20190	0.35	0	95
SCAF_67	57162	47594	0.83	0	17
SCAF_67_region	57162	47594	0.83	0	17
SCAF_68	56404	70584	1.25	0	167
SCAF_68_region	56404	70584	1.25	0	167
SCAF_69	55942	37604	0.67	0	17
SCAF_69_region	55942	37604	0.67	0	17
SCAF_70	55722	189034	3.39	0	27
SCAF_70_region	55722	189034	3.39	0	27
SCAF_71	55604	166536	3.00	0	21
