chrom	length	bases	mean	min	max
SCAF_1	5574741	556825130	99.88	0	4513
SCAF_1_region	5574741	556825130	99.88	0	4513
SCAF_2	4079479	427185358	104.72	0	5258
SCAF_2_region	4079479	427185358	104.72	0	5258
SCAF_3	3666439	389363007	106.20	0	11849
SCAF_3_region	3666439	389363007	106.20	0	11849
SCAF_4	2601389	322635102	124.02	0	5850
SCAF_4_region	2601389	322635102	124.02	0	5850
SCAF_5	2032088	211338723	104.00	0	9781
SCAF_5_region	2032088	211338723	104.00	0	9781
SCAF_6	1976889	227917005	115.29	0	5929
SCAF_6_region	1976889	227917005	115.29	0	5929
SCAF_7	1932263	203860456	105.50	0	3661
SCAF_7_region	1932263	203860456	105.50	0	3661
SCAF_8	1669080	158501809	94.96	0	2975
SCAF_8_region	1669080	158501809	94.96	0	2975
SCAF_9	1646134	174827581	106.20	0	4357
SCAF_9_region	1646134	174827581	106.20	0	4357
SCAF_10	1570817	163303633	103.96	0	4213
SCAF_10_region	1570817	163303633	103.96	0	4213
SCAF_11	1437752	157889262	109.82	0	1125
SCAF_11_region	1437752	157889262	109.82	0	1125
SCAF_12	978195	132749005	135.71	0	479043
SCAF_12_region	978195	132749005	135.71	0	479043
SCAF_13	598471	9575021	16.00	0	5607
SCAF_13_region	598471	9575021	16.00	0	5607
SCAF_14	247525	173848439	702.35	0	10280
SCAF_14_region	247525	173848439	702.35	0	10280
SCAF_15	224905	428677	1.91	0	20
SCAF_15_region	224905	428677	1.91	0	20
SCAF_16	181804	5802039	31.91	0	8297
SCAF_16_region	181804	5802039	31.91	0	8297
SCAF_17	176395	349321	1.98	0	25
SCAF_17_region	176395	349321	1.98	0	25
SCAF_18	160122	115351	0.72	0	17
SCAF_18_region	160122	115351	0.72	0	17
SCAF_19	139354	98456	0.71	0	17
SCAF_19_region	139354	98456	0.71	0	17
SCAF_20	131876	344212	2.61	0	26
SCAF_20_region	131876	344212	2.61	0	26
SCAF_21	130124	326778	2.51	0	142
SCAF_21_region	130124	326778	2.51	0	142
SCAF_22	121580	306023	2.52	0	285
SCAF_22_region	121580	306023	2.52	0	285
SCAF_23	117381	245038	2.09	0	22
SCAF_23_region	117381	245038	2.09	0	22
SCAF_24	115879	219389	1.89	0	174
SCAF_24_region	115879	219389	1.89	0	174
SCAF_25	115495	210145	1.82	0	25
SCAF_25_region	115495	210145	1.82	0	25
SCAF_26	113072	231443	2.05	0	24
SCAF_26_region	113072	231443	2.05	0	24
SCAF_27	110609	6248546	56.49	0	4728
SCAF_27_region	110609	6248546	56.49	0	4728
SCAF_28	109542	99416	0.91	0	15
SCAF_28_region	109542	99416	0.91	0	15
SCAF_29	108319	9173981	84.69	0	2412
SCAF_29_region	108319	9173981	84.69	0	2412
SCAF_30	107902	1044617	9.68	0	1478
SCAF_30_region	107902	1044617	9.68	0	1478
SCAF_31	106626	418728	3.93	0	787
SCAF_31_region	106626	418728	3.93	0	787
SCAF_32	102192	645468	6.32	0	1157
SCAF_32_region	102192	645468	6.32	0	1157
SCAF_33	98221	255717	2.60	0	16
SCAF_33_region	98221	255717	2.60	0	16
SCAF_34	97882	266927	2.73	0	14
SCAF_34_region	97882	266927	2.73	0	14
SCAF_35	95705	84590	0.88	0	121
SCAF_35_region	95705	84590	0.88	0	121
SCAF_36	94431	179683	1.90	0	23
SCAF_36_region	94431	179683	1.90	0	23
SCAF_37	92851	105668	1.14	0	19
SCAF_37_region	92851	105668	1.14	0	19
